d_codigo,Latitud,Longitud,c_estado
5100,19.37521648,-99.27171205,9
5110,19.38527468,-99.25028096,9
5118,19.3839059,-99.25445909,9
5119,19.38109756,-99.25753461,9
5120,19.38913462,-99.25443742,9
5129,19.39086934,-99.26205619,9
5200,19.36997348,-99.28888918,9
5219,19.37377546,-99.2842138,9
5220,19.37303511,-99.29102629,9
5230,19.37424483,-99.28854339,9
5240,19.36545827,-99.2825864,9
5260,19.36490844,-99.29244302,9
5269,19.36844896,-99.29492807,9
5270,19.36749622,-99.29730161,9
5280,19.36485642,-99.29632716,9
5310,19.36144773,-99.28695563,9
5320,19.36225543,-99.27996293,9
5330,19.35836513,-99.28638004,9
5348,19.35261593,-99.27067602,9
5360,19.35370251,-99.29116745,9
5370,19.35252754,-99.28554686,9
5379,19.35398088,-99.28792142,9
5400,19.32261456,-99.32221696,9
5410,19.32800161,-99.32656807,9
5500,19.34849496,-99.29221876,9
5520,19.3342,-99.3102,9
5530,19.35084467,-99.29374602,9
5600,19.34129883,-99.27961374,9
5610,19.32769727,-99.29338202,9
5700,19.32000099,-99.32541101,9
5710,19.31866355,-99.33165022,9
5730,19.31281053,-99.33060681,9
5750,19.30770148,-99.34434525,9
5760,19.31442858,-99.33315388,9
5780,19.36186132,-99.30542238,9
6000,19.433613,-99.1368394,9
6010,19.4400822,-99.1366949,9
6020,19.4382618,-99.12877166,9
6030,19.4351531,-99.1538025,9
6040,19.43121014,-99.14999706,9
6050,19.43477116,-99.14506829,9
6060,19.4315469,-99.12989248,9
6070,19.42811523,-99.14538481,9
6080,19.42497603,-99.13983365,9
6090,19.425745,-99.13038922,9
6100,19.40820714,-99.171816,9
6140,19.41482698,-99.17611273,9
6170,19.41000916,-99.1785636,9
6200,19.44698379,-99.12968072,9
6220,19.46216877,-99.13494425,9
6240,19.45816599,-99.12510006,9
6250,19.45696749,-99.13472425,9
6270,19.45481588,-99.12818988,9
6280,19.45392053,-99.12738555,9
6300,19.44460068,-99.14223262,9
6350,19.44626352,-99.15060067,9
6400,19.44871899,-99.15918104,9
6430,19.46287819,-99.14804511,9
6450,19.45935851,-99.15669314,9
6470,19.43727311,-99.16335161,9
6500,19.42924859,-99.16838936,9
6600,19.42622771,-99.16443483,9
6700,19.41912355,-99.1646152,9
6720,19.41786976,-99.14798767,9
6760,19.40557211,-99.16228987,9
6780,19.40522041,-99.14909827,9
6800,19.41478889,-99.13941526,9
6820,19.41798058,-99.13160811,9
6840,19.42085235,-99.12790244,9
6850,19.40433129,-99.13134873,9
6860,19.41004821,-99.13260533,9
6870,19.41129353,-99.13012236,9
6880,19.4050747,-99.13971967,9
6890,19.40706221,-99.13107132,9
6900,19.45338824,-99.1422519,9
6920,19.45910326,-99.14368384,9
7000,19.48001401,-99.11368352,9
7010,19.49648041,-99.11345364,9
7020,19.48603755,-99.12138627,9
7040,19.49767397,-99.09650562,9
7050,19.48398014,-99.11326944,9
7058,19.48531836,-99.1054987,9
7060,19.49078484,-99.11335673,9
7069,19.49237093,-99.10682091,9
7070,19.49047999,-99.10584222,9
7080,19.49595112,-99.10202569,9
7089,19.50501632,-99.10121773,9
7090,19.50832422,-99.09883077,9
7100,19.55567714,-99.13398806,9
7109,19.55993717,-99.1374256,9
7110,19.56830954,-99.13460744,9
7119,19.57584332,-99.12950006,9
7130,19.56565201,-99.14016604,9
7140,19.56370199,-99.12681075,9
7144,19.57058518,-99.1285605,9
7149,19.56726732,-99.13222081,9
7150,19.55833932,-99.12880329,9
7160,19.5561619,-99.1416438,9
7164,19.56055243,-99.14555281,9
7170,19.55236664,-99.13188907,9
7180,19.55065423,-99.12904654,9
7183,19.55029244,-99.12663117,9
7187,19.54908065,-99.12240834,9
7188,19.54684768,-99.12616502,9
7189,19.54543602,-99.13054863,9
7190,19.55032921,-99.13870357,9
7199,19.54247893,-99.13295191,9
7200,19.54585012,-99.13873462,9
7207,19.54518165,-99.14302623,9
7209,19.53862583,-99.14020345,9
7210,19.55136413,-99.15142372,9
7214,19.55822107,-99.14800804,9
7220,19.53957939,-99.1370204,9
7224,19.53804272,-99.13694722,9
7230,19.53925925,-99.1486635,9
7239,19.53561631,-99.14523457,9
7240,19.5358537,-99.14092814,9
7250,19.53338271,-99.13898071,9
7259,19.53536944,-99.13788329,9
7268,19.5321836,-99.15433623,9
7270,19.52277427,-99.1498572,9
7279,19.52702429,-99.14951942,9
7280,19.52703613,-99.14372174,9
7290,19.52589699,-99.1383159,9
7300,19.49207409,-99.12973045,9
7310,19.52215835,-99.13634049,9
7320,19.5120287,-99.1375998,9
7330,19.51479081,-99.13188996,9
7340,19.51009644,-99.13105666,9
7350,19.52104168,-99.12980933,9
7359,19.51469081,-99.1239924,9
7360,19.50588213,-99.12247369,9
7369,19.50202426,-99.12374906,9
7370,19.47871578,-99.13322056,9
7380,19.47642487,-99.13727021,9
7400,19.48782708,-99.09768465,9
7410,19.50465954,-99.09029251,9
7420,19.4931813,-99.08771514,9
7430,19.50059431,-99.09093364,9
7440,19.49272933,-99.09538746,9
7450,19.47938382,-99.09431631,9
7455,19.48213411,-99.09241563,9
7456,19.48372259,-99.09267109,9
7460,19.47920827,-99.10371425,9
7469,19.48461043,-99.09964693,9
7470,19.47628655,-99.10570635,9
7480,19.4726544,-99.09470506,9
7500,19.47691701,-99.06642409,9
7509,19.4720777,-99.06352598,9
7510,19.4950077,-99.07524781,9
7520,19.49605439,-99.08098372,9
7530,19.48480393,-99.0812602,9
7540,19.48642862,-99.086834,9
7550,19.48325227,-99.07034842,9
7560,19.47827085,-99.07009147,9
